Entity,Code,Year,Oil - Proved reserves
China,CHN,2019,3541320069.885254
China,CHN,2020,3541320069.885254
Colombia,COL,1980,75020001.62601471
Colombia,COL,1981,72291996.0975647
Colombia,COL,1982,83204001.95121765
Colombia,COL,1983,87295998.04878235
Colombia,COL,1984,150040003.25202942
Colombia,COL,1985,169136001.30081177
Colombia,COL,1986,231880006.50405884
Colombia,COL,1987,260523995.4471588
Colombia,COL,1988,279619993.49594116
Colombia,COL,1989,270072002.60162354
Colombia,COL,1990,271436001.30081177
Colombia,COL,1991,257059445.90568542
Colombia,COL,1992,440831156.8260193
Colombia,COL,1993,430532955.26504517
Colombia,COL,1994,428159591.6748047
Colombia,COL,1995,402639160.7284546
Colombia,COL,1996,381647213.26828
Colombia,COL,1997,351530071.2585449
Colombia,COL,1998,337971905.32684326
Colombia,COL,1999,312246889.2097473
Colombia,COL,2000,268967158.12683105
Colombia,COL,2001,251276085.56747437
Colombia,COL,2002,222563885.307312
Colombia,COL,2003,210383360.33821106
Colombia,COL,2004,201544637.0601654
Colombia,COL,2005,198216477.63252258
Colombia,COL,2006,205882161.37886047
Colombia,COL,2007,205963998.69918823
Colombia,COL,2008,185776798.43902588
Colombia,COL,2009,185504001.95121765
Colombia,COL,2010,259159996.74797058
Colombia,COL,2011,271108635.75935364
Colombia,COL,2012,300080006.50405884
Colombia,COL,2013,324222812.7479553
Colombia,COL,2014,333497990.8943176
Colombia,COL,2015,314811211.96746826
Colombia,COL,2016,273072812.7479553
Colombia,COL,2017,227172840.26145935
Colombia,COL,2018,243093166.54205322
Colombia,COL,2019,267344005.20324707
Colombia,COL,2020,277710401.8211365
Congo,COG,1980,96222013.92650604
Congo,COG,1981,99987335.53886414
Congo,COG,1982,102903568.5300827
Congo,COG,1983,100710261.67869568
Congo,COG,1984,108905985.56995392
Congo,COG,1985,103118397.59349823
Congo,COG,1986,98167077.11219788
Congo,COG,1987,94797999.02439117
Congo,COG,1988,102300000
Congo,COG,1989,96843997.07317352
Congo,COG,1990,102913796.16260529
Congo,COG,1991,95248120.54634094
Congo,COG,1992,98890003.25202942
Congo,COG,1993,88728199.93495941
Congo,COG,1994,192692287.77885437
Congo,COG,1995,184099076.461792
Congo,COG,1996,218240003.25202942
Congo,COG,1997,220286001.30081177
Congo,COG,1998,231880006.50405884
Congo,COG,1999,231880006.50405884
Congo,COG,2000,205406535.81619263
Congo,COG,2001,205406535.81619263
Congo,COG,2002,206645998.04878235
Congo,COG,2003,243473995.4471588
Congo,COG,2004,243337605.33332825
Congo,COG,2005,259841996.0975647
Congo,COG,2006,264616007.8048706
Congo,COG,2007,264616007.8048706
Congo,COG,2008,264616007.8048706
Congo,COG,2009,272800000
Congo,COG,2010,272800000
Congo,COG,2011,272800000
Congo,COG,2012,272800000
Congo,COG,2013,364597213.26828
Congo,COG,2014,391058814.0487671
Congo,COG,2015,406744815.34957886
Congo,COG,2016,406744815.34957886
Congo,COG,2017,406744815.34957886
Congo,COG,2018,406744815.34957886
Congo,COG,2019,393104795.83740234
Congo,COG,2020,393104795.83740234
Denmark,DNK,1980,61379998.37398529
Denmark,DNK,1981,50604398.89431
Denmark,DNK,1982,44612368.02339554
Denmark,DNK,1983,42038577.79502869
Denmark,DNK,1984,63486833.76312256
Denmark,DNK,1985,60913043.53475571
Denmark,DNK,1986,54907533.00189972
Denmark,DNK,1987,54907533.00189972
Denmark,DNK,1988,73781994.67658997
Denmark,DNK,1989,85793015.74230194
Denmark,DNK,1990,80645435.28556824
Denmark,DNK,1991,84077155.59005737
Denmark,DNK,1992,102093691.25366211
Denmark,DNK,1993,96088184.7858429
Denmark,DNK,1994,102951625.39482117
Denmark,DNK,1995,124399873.23284149
Denmark,DNK,1996,117536432.62386322
Denmark,DNK,1997,128689527.67848969
Denmark,DNK,1998,120110226.91726685
Denmark,DNK,1999,123541947.22175598
Denmark,DNK,2000,151853643.79882812
Denmark,DNK,2001,183597060.6803894
Denmark,DNK,2002,174159833.90808105
Denmark,DNK,2003,174159833.90808105
Denmark,DNK,2004,181023274.51705933
Denmark,DNK,2005,174159833.90808105
Denmark,DNK,2006,157859150.26664734
Denmark,DNK,2007,151853643.79882812
Denmark,DNK,2008,110672992.01488495
Denmark,DNK,2009,125257807.37400055
Denmark,DNK,2010,122684013.08059692
Denmark,DNK,2011,109815066.00379944
Denmark,DNK,2012,99519905.09033203
Denmark,DNK,2013,91798530.3401947
Denmark,DNK,2014,83219229.57897186
Denmark,DNK,2015,66918554.067611694
Denmark,DNK,2016,60055113.45863342
Denmark,DNK,2017,58339253.306388855
Denmark,DNK,2018,60055113.45863342
Denmark,DNK,2019,58339253.306388855
Denmark,DNK,2020,58339253.306388855
Ecuador,ECU,1980,77625787.75882721
Ecuador,ECU,1981,72062297.12963104
Ecuador,ECU,1982,72851385.80799103
Ecuador,ECU,1983,70276884.19818878
Ecuador,ECU,1984,90633824.13387299
Ecuador,ECU,1985,91502620.05329132
Ecuador,ECU,1986,98445019.93656158
Ecuador,ECU,1987,127075456.0470581
Ecuador,ECU,1988,120746795.4158783
Ecuador,ECU,1989,114904337.57305145
Ecuador,ECU,1990,108017726.2544632
Ecuador,ECU,1991,121503997.94578552
Ecuador,ECU,1992,258247818.75610352
Ecuador,ECU,1993,291708437.2520447
